Date,Time,Pid,Level,Content,EventId,EventTemplate
81109,203602,156,INFO,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
81109,203602,156,INFO,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
81109,203602,156,INFO,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>"
81109,203602,156,INFO,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
81109,203602,166,INFO,visible is system.time.showampm,E165,visible is <*>
81109,203602,167,INFO,mVisiblity.getValue is false,E82,mVisiblity.getValue is false
81109,203602,169,INFO,visible is system.charge.show,E165,visible is <*>
81109,203602,170,INFO,mVisiblity.getValue is false,E82,mVisiblity.getValue is false
81109,203602,170,INFO,visible is system.call.count gt 0,E166,visible is <*> gt <*>
81109,203602,170,INFO,mVisiblity.getValue is false,E82,mVisiblity.getValue is false
81109,203602,172,INFO,visible is system.message.count gt 0,E166,visible is <*> gt <*>
81109,203602,172,INFO,mVisiblity.getValue is false,E82,mVisiblity.getValue is false
81109,203602,173,INFO,visible is system.ownerinfo.show,E165,visible is <*>
81109,203602,173,INFO,mVisiblity.getValue is false,E82,mVisiblity.getValue is false
